id,nom,link,ingredients,pas,temps,catégorie,nationalité_recette,convive,valeur_nutritionnelle
11,Receta de arroz chaufa vegetariano ,https://www.comedera.com/receta-de-arroz-chaufa-vegetariano/,"['4 cda  de aceite vegetal', '1 cda.  de aceite de sésamo', '1 manojo de cebolletas (cebollinos, cebolla de verdeo, cebolla china, scallions)', '1 cda.  de Kion\xa0 (jengibre)', '1 cda.  de ajo', '4 tazas  de arroz cocido (frío)', '2 huevos', '3  cda de salsa de soja', 'sal y pimienta al gusto', '1 zanahoria picada en cubos']","['En una sartén calienta el aceite vegetal, saltea las zanahorias junto a la mitad de la cebolleta. Cocina a fuego alto sin dejar de remover.', 'Agrega el jengibre y el ajo machacado. Reserva.', 'Bate los huevos junto al resto de la cebolleta, añade sal y pimienta al gusto.', 'Agrega los huevos al sartén, para preparar una tortilla estilo francesa. Reserva.', 'Echa el arroz frío, revuelve y añade la salsa de soja y por último añade algunas gotas de aceite de sésamo. No dejes de moverlo.', 'Añade sal y pimienta al gusto,', 'Finalmente añade la tortilla y mezcla muy bien.', 'Sirve como complemento de cualquier preparación o como plato único.']",['10 minutos minutos'],['receta rápida'],"['Peruana, Vegetariana']",['4 personas'],['363kcal']
12,"Arroz chaufa con cerdo, receta peruana ",https://www.comedera.com/arroz-chaufa-con-cerdo-receta-peruana/,"['1 ramillete   de cebolleta tierna', '2 ramillete  de cebolleta china', '2 dientes de ajo', '1 padazo de jengibre fresco', '20 grs. pimiento rojo', '½ zanahoria', '200 grs. de lomo de cerdo', '200 grs.  de aceite de sésamo', '1 cdta. de salsa de soja', '100 ml. salsa de ostras', '1 cdta.  azúcar', '1 cdta.  sal y pimienta negra', '4 huevos', '4 cda aceite de oliva suave']","['Pica la cebolleta tierna fina para que sea la base del arroz, pica también el pimiento rojo retirando las semillas y las partes blancas. Pela la zanahoria y pícala en cuadraditos pequeños.', 'Bate los huevos junto a los aliños, y agrégalos al sartén , para preparar una tortilla estilo francesa.', 'Tritura el diente de ajo con el jengibre y un poco de aceite hasta hacer una pasta. Reserva.', 'Pica también la cebolleta china (verde) muy fina y trocea el cerdo en cuadraditos.', 'Calienta una sartén o un wok a fuego fuerte y añade el aceite con la pasta de ajo y jengibre, saltea apenas unos segundos hasta que empiece a dorarse y añade la cebolleta blanca picada (no la china), el pimiento rojo y la zanahoria. Saltea y cuida de que no se queme.', 'Añade el cochino picado y saltea para que se dore bien por fuera y se cocine por dentro.', 'Agrega el arroz cocido y deja que se tueste ligeramente, todo siempre a fuego fuerte, en la sartén.', 'Añade todas las salsas y remueve bien, salpimienta.', 'Incorpora también la tortilla en el último minuto y la cebolleta verde china picada.', 'Saltea a fuego fuerte sin dejar de remover.', 'Sirve caliente.']",['10 minutos minutos'],['receta rápida'],['Peruana'],['4 personas'],['354kcal']
13,"Tiraditos de salmón, receta peruana ",https://www.comedera.com/tiraditos-de-salmon-receta-peruana/,"['400 gr de salmón', '6 limas', '3 cda de pasta ají amarillo', '1 cebolla grande morada picada', '1 ramito de cilantro troceado', '1 diente de ajo fileatado', '1 guindilla roja picadita en trocitos']","['Vamos a iniciar nuestra receta, colocando en una licuadora o mixer la pasta de ají amarillo y el zumo de los seis limones.', 'Posteriormente, vas a incorporar el diente de ajo, la ramita de cilantro y la ramita de apio. Le añadirás sal al gusto.', 'Lo vas a licuar muy bien hasta conseguir una crema con una textura muy suave y todo se haya integrado.', 'Vas a pasar tu crema por un colador para quitarle cualquier grumo. Reserva en la nevera.', 'Ahora, tomarás tus pescado y lo vas a limpiar muy bien.', 'Cuando esté bien limpio, lo vas a cortar en láminas de aproximadamente de un centímetro de grosor.', 'Ahora, colocarás tus láminas de salmón en una bandeja y lo bañarás con la crema que prepararamos hasta que queden bien impregnados.', 'Por encima, la añadirás cebolla picada, la guindilla, un poco de cilantro u otro ingrediente que desees.', 'Ahora, podrás degustar cuando desees.', '¡Disfruta!']",['20 minutos minutos'],['Receta tradicional'],['Peruana'],['3 personas'],['380kcal']
14,"Arroz a lo pobre, receta peruana ",https://www.comedera.com/arroz-a-lo-pobre-receta-peruana/,"['250 gr  de arroz', '250 gr  de col', '1 cebolla grande', '3 chorizos', '70 gr  de bacon', '1 vaso  de caldo de ave', 'aceite de oliva para sofreir', 'sal y pimienta al gusto', '2 ají dulces']","['Corta el chorizo en ruedas, la cebolla y el ají en cubos pequeños.', 'En una sartén agrega el chorizo, la cebolla y el ají dulce y fríe hasta que la cebolla esté transparente. Retíralo y resérvalo.', 'Desohaja la col y córtala en juliana (tiras) muy fina. Lávala y escúrrela bien y añádela al la sartén. Deja cocer, a fuego suave, durante 15 minutos.', 'Añade el arroz y el chorizo y deja rehogar un par de minutos.', 'Vierte el vaso de caldo y 4 de agua y lleva a ebullición.', 'Echa sal y pimienta al gusto y deja cocer durante 20 minutos.', 'Cuando el líquido se seque, tapa y baja el fuego y deja cocinar hasta que esté suelto (graneado).', 'Sirve caliente.']",['5 minutos minutos'],['receta facil'],['Peruana'],['5 personas'],['382kcal']
15,"Suspiro limeño, postre peruano ",https://www.comedera.com/suspiro-limeno-postre-peruano/,"['1 lata  de de leche condensada', '1 lata de leche evaporada', '3 huevos (deben estar separadas las claras y yemas)', '1 cdta de vainilla', '1, 1/2 taza de azúcar', '1 oz de vino de oporto (o brandy)', '1/4 cdta de canela molida']","['Vamos a iniciar nuestra receta, preparando todos los ingredientes.', 'Incorpora en una olla la leche evaporada y la leche condensada, mezcla hasta integrar.', 'Agrega la vainilla y las yemas de huevo, mezcla y deja cocinar por 20 minutos aproximadamente. Durante ese tiempo, debes mover para que no se pegue.', 'Cuando la mezcla esté espesa, apagarás y dejarás enfriar en la nevera.', 'Incorpora las claras de huevo en un bol y con un batidor manual y bate hasta el punto de nieve. Reserva.', 'En una cazuela, agrega el licor y el azúcar. Mezclarás y cocina hasta que se haga un almíbar. Apaga y deja enfriar.', 'Cuando esté frio, vas a mezclar con el merengue con movimientos envolventes para mantener la textura.', 'Vamos a servir, para ello agregarás en unas copas o vasos hondo un poco de la mezcla de las leches y yemas.', 'Agrega el merengue en una manga pastelera y decora. Puedes darle la forma que más te guste. Por último, espolvorea canela molida.', 'Ahora estará listo para disfrutar.']",['10 minutos minutos'],['Receta tradicional'],['Peruana'],['5 porciones'],['590kcal']
16,Cómo hacer pollo en brasa venezolano ,https://www.comedera.com/como-hacer-pollo-en-brasa-venezolano/,"['1 pollo entero', '4 cditas de sal marina', '2 cditas de azúcar moreno', '1 cdta de orégano', '2 cdida de pimienta', '5 cdas de aceite de oliva', '1 cdta de vinagre', '1 cda de limón', '4 dientes\xa0de ajo', '1 cebolla', '1/2\xa0 cdta de comino', '1/2\xa0 cdta de paprika', '3 lt de agua', '1 taza de vino blanco']","['Inicia la receta y toma el pollo. Debe estar entero, pero limpio. No debe tener vísceras ni patas.', 'Una vez limpio, hilo pabilo o de cocina, amarra la parte de las patas y con un tenedor o cuchillo, haz cortes pequeños por todo el cuerpo.', 'Coloca en un bol u olla grande, 3 litros de agua potable, dos cucharaditas de sal marina, el azúcar moreno, una cucharada de pimienta, dos cucharadas de aceite de oliva y el orégano. Mezcla e introduce el pollo hasta que quede cubierto por el agua.', 'Lleva a la nevera y deja macerar por aproximadamente 5 horas.', 'Una vez haya terminado ese tiempo, saca el pollo del agua y deja escurrir. En un bol la taza de vino blanco, el resto de la sal, pimienta y aceite de oliva. El comino, la paprika, el vinagre, el limón, los dientes de ajo fileteados y la cebolla rallada.', 'Mezcla muy bien los ingredientes.', 'Reserva un poco de la mezcla y con el resto, barniza el pollo por dentro y por fuera muy bien hasta que quede impregnado. Deja marinar por 2 horas aproximadamente para que tome todo el sabor.', 'Precalienta el horno a 180°C.', 'Terminado el marinado, coloca el pollo en una bandeja grande de horno previamente engrasada y cocina por 1 hora.', 'Transcurrido este tiempo, con la mezcla que reservaste del marinado, barniza nuevamente y termina de cocinar por 45 minutos más hasta que el pollo quede bien rostizado y jugoso.', 'Retira del horno, deja reposar un poco y corta en las partes que más te agraden.', 'Disfruta del sabor y la suavidad de este pollo con yuca hervida y ensalada rallada.']",['20 minutos minutos'],['Receta tradicional'],['Venezolana'],['5 personas'],['660kcal']
17,Cómo hacer arepa rumbera venezolana ,https://www.comedera.com/arepa-rumbera/,"['2 tazas de harina de maíz precocida', '3½ tazas de agua', '½ cdta.  de sal']","['En un bol profundo añade el agua y diluye en ella la sal. Mezcla con la ayuda de una paleta.', 'Agrega la harina y deja que el agua la hidrate por 3 minutos, cuando ya el agua está absorbida totalmente, mezcla con la paleta.', 'Con tus manos lavadas vas a amasar por 2 minutos hasta obtener una textura muy suave y compacta.']",['10 minutos minutos'],['Receta tradicional'],['Venezolana'],['4 personas'],['165kcal']
18,Cómo hacer arepa de perico venezolana ,https://www.comedera.com/como-hacer-arepa-de-perico-venezolana/,"['2 tomates', '1 pimiento verde grande', '2 cebollas medianas', '8 huevos', 'Sal y pimienta al gusto', '3 cdas de aceite de oliva', '3 tazas de harina de maíz precocida', '3 tazas de agua', 'Sal al gusto', '1 cda de mantequilla derretida']","['Inicia la receta, toma la cebolla y corta en cuadritos o brunoise.', 'Ahora, toma el pimentón verde, retira las venitas y corta también en cuadritos muy pequeños. Haz lo propio con la cebolla. Reserva.', 'Ahora, en un bol, coloca la harina, la sal, y mezcla con una espátula.', 'Luego, añade el agua y la mantequilla derretida. Con la ayuda de las manos, previamente limpias, mezcla todo con movimientos lentos hasta obtener una masa suave y manejable.', 'Si notas que hace falta más agua o harina, puedes agregar más. Debe quedar una masa compacta pero muy suave y fácil de moldear.', 'Calienta una plancha, sartén o grill a fuego medio y engrasa con aceite.', 'Ahora, tu masa y haz bolitas. El tamaño dependerá de tus gustos, te recomiendo que la hagas pequeñas para que el resultado final tenga una capa crujiente. Puedes guiarte por las dimensiones de una pelota de golf.', 'Después que hagas todas las bolitas de masa, aplástalas delicadamente con ambas manos para obtener la forma característica de las arepas. Sabemos que este proceso consta de mucha práctica, pero te aseguramos que es fácil.', 'Te recomiendo que hagas las arepas delgadas para que su cocción sea más rápida y tengas una forma crocante.\xa0Coloca las arepas sobre el sartén o plancha previamente calentado.', 'Cocina por 10 minutos por ambos lados. Cuando veas que nuestra arepa tiene una especie de ""Concha o costra"", la volteas. Repite este paso por el otro lado.\xa0Puedes ver más detalles de cómo se realizan las arepas\xa0aquí.', 'Para el relleno, calienta un sartén con aceite y sofríe la cebolla junto al pimentón. Posteriormente, añade el tomate. Mezcla muy bien hasta que quede como un sofrito.', 'Agrela los huevos, sal y pimienta al gusto. Mezcla y cocina hasta que cuaje.', 'Para rellenar las arepas, abre con cuidado con la ayuda de un cuchillo de mesa. Puedes untarle mantequilla que es tradición en Venezuela.', 'Rellena con el perico, o puedes degustarlas por separado.', '¡Disfruta!']",['20 minutos minutos'],['Receta tradicional'],['Venezolana'],['8 porciones'],['590kcal']
19,"Tumbarrancho maracucho, receta venezolana ",https://www.comedera.com/tumbarrancho-maracucho-receta-venezolana/,"['1 taza de harina de maíz precocida', '1¼ taza de agua', '1 cdta. de sal', '1 cda. de aceite vegetal']","['En un bol agrega la sal, el agua y el aceite, mezcla con una cuchara hasta que se diluya la sal por completo.', 'Añade la harina de maíz con el agua, la sal y el aceite hasta obtener una masa compacta y suave.', 'Haz cuatro bolitas del mismo tamaño y aplástalas con las palmas de las manos y redondea hasta formar unas arepas.', 'Sobre una plancha o budare caliente cuece las arepas hasta que tengan una capa dura en su exterior.', 'Luego introdúcelas en el horno a 120 ºC, este proceso es solo para que se inflen y puedas rellenarlas con más facilidad.', 'Una vez listas, espera que reposen un poco y ábrelas.', 'Agrega en otro bol la harina de trigo, los huevos, la sal, la mostaza y la leche; revuelve con un tenedor hasta unificar la mezcla.', 'Agregar poco a poco el agua hasta obtener una mezcla espesa para el rebozado (solo debe colocarse el agua necesaria).', 'Añade una rebanada de mortadela dentro de la arepa (es importante que la mortadela no sobresalga de la arepa).', 'Cierra la arepa con la ayuda de palillos, sumerge la arepa en la mezcla del rebozado utilizando unas pinzas. Debe quedar cubierta por ambos lados.', 'En una sartén con abundante aceite fríe hasta que dore por ambos lados.', 'Ponla sobre papel absorbente. Repite con todas las arepas.', 'Abre la arepa y rellenar con queso de mano, repollo, tiritas de tomate, mayonesa, salsa de tomate (kétchup) y mostaza.', 'Sirve caliente para que se mantenga la textura crujiente.']",['15 minutos minutos'],['fritura'],['Venezolana'],['4 arepas'],['380kcal']
20,Receta de catalinas venezolanas ,https://www.comedera.com/receta-catalinas-venezolanas/,"['1 taza de papelón o panela en trozos', '½ taza  de agua', '6 clavos de olor', '2 tazas de harina de trigo', '½ cdta de canela molida', '¼ cdta de clavo de olor', '¼ cdta de polvo de hornear', '¼ cdta de jengibre', '4 cdas de mantequilla']","['Inicia la receta de las catalinas y coloca la media taza de agua junto a los trozos de papelón y los clavos especia en una olla a fuego medio.', 'Cocina y ve mezclando hasta que el papelón se haya disuelto. Apaga cuando te quede una mezcla tipo melado, con consistencia.', 'Apaga, retira los clavos especia y reserva.', 'Ahora, en un bol incorpora el harina. Luego, añade la canela molida, el polvo de hornear, y el clavo de especia molido. Mezcla muy bien hasta que se integren los materiales secos.', 'Procede e incorpora la mantequilla y mezcla hasta que unan a los ingredientes secos y te quede una masa medio arenosa.', 'Continúa y vierte el papelón en la mezcla junto al jengibre. Mezcla muy bien hasta que te quede una masa suave y homogénea. Debe estar manejable.', 'Precalienta el horno a 180° C.', 'Engrasa una bandeja con un poco de aceite o mantequilla.', 'Humedece tus manos con aceite y divide la masa en bolitas pequeñas medianas.', 'Posteriormente. aplasta un poco y coloca en la bandeja dejando separación.', 'Una vez colocadas todas, hornea por aproximadamente 30 minutos. Al sacar del horno, despega de la bandeja y deja reposar.', 'Ahora, estarán listas para disfrutar.']",['20 minutos minutos'],['postre tradicional'],['Venezolana'],['8 porciones'],['520kcal']
